_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,BUILDER_NAME
175253,17 244534 PSA,00,Plumbing(PS),Stadium,Piping: Other Buildings,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2017-10-06,2017-10-25,,Permit Issued,Removal and replacement of existing drain bodies and piping within the Phase 7 limit of construction area.New permit application under Parent Permit No.16 252422 PSA 00 PS,Stadium,Same,,,150000,0,0,0,0,0,0,0,0,
177769,16 207489 PSA,00,Plumbing(PS),Arena, Fixtures/Roof Drains: Other ,40,BAY,ST, ,M5J,7929257,S1037,2016-08-16,2016-08-30,,Permit Issued,"REMOVE EXISTING DOUBLE COMPARTMENT  KITCHEN SINK, REPLACE WITH 3 COMPARTMENT SINK",Arena,Arena,,,50000,0,0,0,0,0,0,0,0,
178992,13 126490 HVA,00,Mechanical(MS),Stadium,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2013-02-28,2013-03-28,,Permit Issued,HVAC - Proposal for interior alterations on the 200 level on the north side of the stadium,Stadium,Stadium,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
179359,15 253563 HVA,00,Mechanical(MS),Restaurant Greater Than 30 Seats,Building Permit Related(MS),85,FRONT,ST,E,M5E,8344815,S1339,2015-11-18,2016-01-13,,Inspection,"HVAC - Proposed interior alterations to existing restaurant (Spring Rolls) to new restaurant (Paramount Fine Foods) on lower and ground floor, existing exhaust shaft to remain and reuse for new kitchen layout.",Restaurant,Restaurant,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
180717,26 134384 HVA,00,Mechanical(MS),Arena,Building Permit Related(MS),40,BAY,ST, ,M5J,7929257,S1037,2026-03-25,2026-04-27,,Permit Issued,"HVAC - Proposed renovation to L100 public galleria; L200 sher club balcony and escalator landing; L600 east suites, corridor, elevator lobby and washrooms",Arena,Arena,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
180728,16 253940 BLD,02,Building Additions/Alterations,Restaurant 30 Seats or Less ,Interior Alterations,500,BLOOR,ST,W,M5S,14115433,S1126,2017-07-20,2017-07-28,,Revision Issued,"Revision 02: for addition basement work required after site investigation, new partitions, water proofing and mould remediation.revision 01: for installation of structural reinforcement to existing roof top allow for installation of HVAC unit to serve ""A&W Restaurant"" in base permit. ",,Restaurant,0,0,0,0,0,0,0,0,0,0,0,
181215,18 261085 BLD,00,Building Additions/Alterations,Arena,Re-Roofing/Re-Cladding,40,BAY,ST, ,M5J,7929257,S1037,2018-11-26,2019-03-01,,Permit Issued,"Installation of new aluminum rainscreen exterior cladding system over existing exterior cladding system, maintaining existing, including thermal and air barriers and integration of new signage into cladding and curtain wall.",Arena,Arena,,,4000000,0,0,0,0,0,0,0,0,
181705,16 268019 HVA,00,Mechanical(MS),Stadium,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2016-12-16,2017-01-30,,Permit Issued,"HVAC - Proposal for interior alterations to the field level umpire change rooms & office in existing stadium - ""Rogers Centre""",Stadium,Stadium,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
181873,26 134384 DRN,00,Drain and Site Service,Arena,Building Permit Related (DR),40,BAY,ST, ,M5J,7929257,S1037,2026-03-25,2026-04-27,,Permit Issued,"Drain - Proposed renovation to L100 public galleria; L200 sher club balcony and escalator landing; L600 east suites, corridor, elevator lobby and washrooms",Arena,Arena,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
183039,07 112300 BLD,00,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2007-02-28,2007-03-06,,Inspection,Interior alterations to existing retail store at the 100 level,Stadium,Same,0,0,1000000,0,0,0,0,0,0,800,0,
