lat,lng,severity,year
43.657603,-79.362026,2,2021
43.641461,-79.380869,2,2021
43.640869,-79.38064,2,2021
43.651021,-79.401874,2,2021
43.670753,-79.393081,2,2021
43.661292,-79.369549,2,2021
43.653309,-79.375162,2,2021
43.648191,-79.354799,2,2021
43.666657,-79.403871,2,2021
43.677417,-79.408131,2,2021
43.664593,-79.429334,2,2021
43.654196,-79.379359,2,2021
43.646472,-79.403761,2,2021
43.645987,-79.379135,2,2021
43.652818,-79.371605,2,2021
43.650327,-79.391278,2,2021
43.678485,-79.410262,2,2021
43.677521,-79.358652,2,2021
43.674335,-79.377573,2,2021
43.664647,-79.380521,2,2021
