intersection_id,desc,lat,lng
20054664,Bruyeres Mews / Iannuzzi St,43.637395,-79.401356
20054621,Sloping Sky Mews / Iannuzzi St,43.63692,-79.401158
20054565,Gardiner XWY / Iannuzzi St,43.637908,-79.401571
20054565,Gardiner XWY / Iannuzzi St,43.637908,-79.401571
20054569,Gardiner XWY / Iannuzzi St,43.638082,-79.401641
20054569,Gardiner XWY / Iannuzzi St,43.638082,-79.401641
20054573,Fort York Blvd / Iannuzzi St,43.638378,-79.401762
13468377,Spadina Ave / Lake Shore Blvd W / Lower Spadina Ave / Gardiner E Spadina Av Ramp / Waterfront Trl,43.63854,-79.39223
30032575,Bathurst St / Housey St,43.638122,-79.400352
14255097,Bathurst St / Fort York Blvd,43.638839,-79.40065
13468578,Bathurst St / Fleet St,43.636632,-79.399721
20054577,Bathurst St / Bruyeres Mews,43.637372,-79.400031
13468537,Lake Shore Blvd W,43.637049,-79.397993
13469661,Beach Rd / Lakeshore Ave,43.622009,-79.390461
13469413,Lakeshore Ave,43.62662,-79.390192
13469365,Lakeshore Ave,43.627424,-79.389561
13469354,Lakeshore Ave,43.627686,-79.390082
13469338,Lakeshore Ave,43.62788,-79.389963
30055582,Island Airport / Lakeshore Ave,43.628688,-79.390061
13469348,Lakeshore Ave,43.627721,-79.389236
13469339,Lakeshore Ave,43.627871,-79.389062
30011350,Lakeshore Ave / Toronto-Hanlan's Point Ferry Route / Routing Connector,43.627925,-79.388998
14021456,Sparkhall Ave / Ln E Broadview N Sparkhall,43.671356,-79.354068
30056546,Muggs Island Pk,43.62254,-79.38692
30056410,Muggs Island Pk / Routing Connector,43.623142,-79.387074
30055468,Muggs Island Pk,43.623164,-79.387012
30056435,Muggs Island Pk,43.623535,-79.387193
30055474,Muggs Island Pk,43.623541,-79.38711
30055483,Muggs Island Pk,43.623142,-79.386966
13466614,Grange Ave / Denison Ave,43.651018,-79.401838
13466443,Dundas St W / Denison Ave,43.652036,-79.402239
30055472,Muggs Island Pk,43.62321,-79.386619
30055500,Muggs Island Pk,43.62341,-79.386736
13469705,Island Park Trl,43.621161,-79.382241
13469633,Island Park Trl,43.62248,-79.382642
13469610,Meades Walk / Island Park Trl / Avenue Of The Islands,43.622865,-79.381668
13469615,Island Park Trl / Avenue Of The Islands,43.622829,-79.380625
13469620,Avenue Of The Islands,43.622689,-79.37979
30056555,Muggs Island Pk,43.623921,-79.387398
30056579,Muggs Island Pk,43.623935,-79.387273
30056582,Muggs Island Pk,43.624451,-79.387501
30022112,Meades Walk,43.623694,-79.38341
13469561,Meades Walk,43.623754,-79.383421
30006083,Tichester Rd / Cedarvale Ravine Trl,43.685908,-79.416602
13460794,Tichester Rd / Lonsmount Dr / Tichester Park Trl,43.685757,-79.417409
30055689,Allan Gardens Trl,43.662149,-79.373816
